"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth",""
"1746420","Jon","Singalila Forest, West Bengal, India",,"2","false","06/07/2017","/02ec9ffe-758d-4224-a06d-739d751ff558/793.JPG","Mammals",,"false","27.13133430480957","88.05599975585938","APPROXIMATE","09/04/2016","09/04/2016","Species","Petaurista magnificus (Hodgson 1836)","Hodgson's Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista magnificus (Hodgson 1836)",,,"Singalila Forest, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-09T00:00:00.000Z","April",
"1746419","Jon","Unnamed Road, Singalila Forest, West Bengal 734221, India",,"2","false","06/07/2017","/660d2053-b1ab-44c7-9b85-68fc217ffc8a/494.JPG","Mammals",,"false","27.037302017211914","88.09196472167969","APPROXIMATE","05/04/2016","05/04/2016","Species","Petaurista elegans (Müller 1840)","Grey-headed Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista elegans (Müller 1840)",,,"Unnamed Road, Singalila Forest, West Bengal 734221, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-05T00:00:00.000Z","April",
"1746418","Jon","Srikhola,one of the spring which meets to Rammam River at Rimbick, West Bengal 734201, India",,"2","false","06/07/2017","/a4c155c0-96b5-4fd5-b9c0-de3f28d2c402/279.JPG","Mammals",,"false","27.130338668823242","88.07440948486328","APPROXIMATE","10/04/2016","10/04/2016","Species","Dremomys lokriah (Hodgson 1836)","Orange-bellied Himalayan Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Dremomys","Dremomys lokriah (Hodgson 1836)",,,"Srikhola,one of the spring which meets to Rammam River at Rimbick, West Bengal 734201, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-10T00:00:00.000Z","April",
"1726914","Rohit George","Unnamed Road, Champasari Forest, West Bengal 734007, India",,"1","true","29/06/2016","/c8987b32-6ed1-4e6e-9ce0-e2e0109447db/160.jpg","Mammals",,"false","26.8131160736084","88.42393493652344","APPROXIMATE","26/06/2016","26/06/2016","Species","Semnopithecus entellus (Dufresne 1797)","Grey Langur:English","Animalia","Chordata","Mammalia","Primates","Cercopithecoidea","Cercopithecidae","Semnopithecus","Semnopithecus entellus (Dufresne 1797)",,,"Unnamed Road, Champasari Forest, West Bengal 734007, India","WEST BENGAL","Matigara","DARJILING",,"2016-06-26T00:00:00.000Z","June",
"1723072","Upamanyu Chakraborty","latpanchar, West Bengal, India",,"2","true","23/04/2016","/b3cd8c53-de8e-4455-a56d-40bebc0df386/223.JPG","Mammals",,"false","26.91590690612793","88.40281677246094","APPROXIMATE","13/03/2016","13/03/2016","Species","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)","Hoary Bellied Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Callosciurus","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)",,,"latpanchar, West Bengal, India","WEST BENGAL","Kurseong","DARJILING",,"2016-03-13T00:00:00.000Z","March",
"1723071","Upamanyu Chakraborty","Siliguri, West Bengal 734001, India",,"1","true","23/04/2016","/452b8f8f-640e-44d6-a08d-073744f889b5/789.JPG","Mammals",,"false","26.727100372314453","88.3952865600586","APPROXIMATE","23/03/2016","23/03/2016","Species","Funambulus pennantii Wroughton 1905","Five-striped Palm Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Funambulus","Funambulus pennantii Wroughton 1905",,,"Siliguri, West Bengal 734001, India","WEST BENGAL","Matigara","DARJILING",,"2016-03-23T00:00:00.000Z","March",
"1723070","Upamanyu Chakraborty","Darjeeling, West Bengal 734101, India",,"2","true","23/04/2016","/27fd3a27-7c67-4a57-93d3-9657294fa3a4/55.jpg","Mammals",,"false","27.037721633911133","88.26287078857422","APPROXIMATE","21/04/2016","21/04/2016","Species","Ailurus fulgens F. G. Cuvier 1825","Red Panda:null","Animalia","Chordata","Mammalia","Carnivora",,"Ailuridae","Ailurus","Ailurus fulgens F. G. Cuvier 1825",,,"Darjeeling, West Bengal 734101, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-21T00:00:00.000Z","April",
"852865","admin","DARJEELING, West bengal",,"1","false","09/03/2016",,"Others",,"false","27.01667","88.21667","APPROXIMATE","27/12/1968","27/12/1968","Genus","Crocidura","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Crocidura",,,,"DARJEELING, West bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-27T00:00:00.000Z","December",
"1074288","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","12/07/1958","12/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-12T00:00:00.000Z","July",
"1074312","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","12/07/1958","12/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-12T00:00:00.000Z","July",
"1074298","admin","""Tarkhola"", West Bengal State",,"1","false","09/03/2016",,"Mammals",,"false","27.0333","88.5667","APPROXIMATE","18/08/1958","18/08/1958","Species","Mus cervicolor Hodgson 1845","Mouse; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Mus","Mus cervicolor Hodgson 1845",,,"""Tarkhola"", West Bengal State","WEST BENGAL","Kalimpong - II","DARJILING",,"1958-08-18T00:00:00.000Z","August",
"1074287","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","12/07/1958","12/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-12T00:00:00.000Z","July",
"1074290","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.0333","88.3667","APPROXIMATE","03/08/1958","03/08/1958","Species","Niviventer fulvescens (Gray 1847)","Chestnut Rat; Rats; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Niviventer","Niviventer fulvescens (Gray 1847)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Rangli Rangliot","DARJILING",,"1958-08-03T00:00:00.000Z","August",
"1074303","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.0333","88.3667","APPROXIMATE","08/08/1958","08/08/1958","Species","Mus booduga (Gray 1837)","Indian Field Mouse; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Mus","Mus booduga (Gray 1837)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Rangli Rangliot","DARJILING",,"1958-08-08T00:00:00.000Z","August",
"1074280","admin","""Tarkhola"", West Bengal State",,"1","false","09/03/2016",,"Mammals",,"false","27.0333","88.5667","APPROXIMATE","18/08/1958","18/08/1958","Species","Bandicota bengalensis (Gray & Hardwicke 1833)","Lesser Bandicoot Rat; Bandicoot Rats; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Bandicota","Bandicota bengalensis (Gray & Hardwicke 1833)",,,"""Tarkhola"", West Bengal State","WEST BENGAL","Kalimpong - II","DARJILING",,"1958-08-18T00:00:00.000Z","August",
"1074284","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","18/07/1958","18/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-18T00:00:00.000Z","July",
"1338138","admin","SEVOKE, West Bengal",,"1","false","09/03/2016",,"Others",,"false","26.88333","88.46667","APPROXIMATE","10/11/1930","10/11/1930","Infraspecies","Ratufa bicolor gigantea (McClelland 1839)","","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Ratufa","Ratufa bicolor (Sparrman 1778)",,,"SEVOKE, West Bengal","WEST BENGAL","Matigara","DARJILING",,"1930-11-10T00:00:00.000Z","November",
"1604566","admin","Darjeeling, West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","27/12/1968","27/12/1968","Species","Crocidura attenuata Milne-Edwards 1872","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Crocidura","Crocidura attenuata Milne-Edwards 1872",,,"Darjeeling, West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-27T00:00:00.000Z","December",
"1457760","admin","West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","20/12/1968","20/12/1968","Species","Suncus murinus (Linnaeus 1766)","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus","Suncus murinus (Linnaeus 1766)",,,"West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-20T00:00:00.000Z","December",
"1457762","admin","West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","01/01/1969","01/01/1969","Species","Niviventer fulvescens (Gray 1847)","","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Niviventer","Niviventer fulvescens (Gray 1847)",,,"West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1969-01-01T00:00:00.000Z","January",
"1457763","admin","West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","27/12/1968","27/12/1968","Species","Crocidura attenuata Milne-Edwards 1872","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Crocidura","Crocidura attenuata Milne-Edwards 1872",,,"West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-27T00:00:00.000Z","December",
"1604568","admin","Darjeeling, West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","24/12/1968","24/12/1968","Species","Suncus murinus (Linnaeus 1766)","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus","Suncus murinus (Linnaeus 1766)",,,"Darjeeling, West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-24T00:00:00.000Z","December",
"1604571","admin","Darjeeling, West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","20/12/1968","20/12/1968","Species","Suncus murinus (Linnaeus 1766)","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus","Suncus murinus (Linnaeus 1766)",,,"Darjeeling, West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-20T00:00:00.000Z","December",
"1604570","admin","Darjeeling, West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","01/01/1969","01/01/1969","Species","Niviventer fulvescens (Gray 1847)","","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Niviventer","Niviventer fulvescens (Gray 1847)",,,"Darjeeling, West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1969-01-01T00:00:00.000Z","January",
"1570065","admin","DARJEELING, West bengal",,"1","false","09/03/2016",,"Others",,"false","27.01667","88.21667","APPROXIMATE","01/01/1969","01/01/1969","Genus","Niviventer","","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Niviventer",,,,"DARJEELING, West bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1969-01-01T00:00:00.000Z","January",
"1571574","admin","DARJEELING, West bengal",,"1","false","09/03/2016",,"Others",,"false","27.01667","88.21667","APPROXIMATE","24/12/1968","24/12/1968","Genus","Suncus","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus",,,,"DARJEELING, West bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-24T00:00:00.000Z","December",
"1571573","admin","DARJEELING, West bengal",,"1","false","09/03/2016",,"Others",,"false","27.01667","88.21667","APPROXIMATE","20/12/1968","20/12/1968","Genus","Suncus","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus",,,,"DARJEELING, West bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-20T00:00:00.000Z","December",
"1607100","admin","",,"1","true","09/03/2016",,"Mammals",,"false","26.66319","88.39374","APPROXIMATE","20/06/2015","20/06/2015","Species","Elephas maximus Linnaeus 1758","","Animalia","Chordata","Mammalia","Proboscidea",,"Elephantidae","Elephas","Elephas maximus Linnaeus 1758",,,"","WEST BENGAL","Phansidewa","DARJILING",,"2015-06-20T00:00:00.000Z","June",
"1457761","admin","West Bengal",,"1","false","09/03/2016",,"Mammals",,"false","27.01667","88.21667","APPROXIMATE","24/12/1968","24/12/1968","Species","Suncus murinus (Linnaeus 1766)","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Suncus","Suncus murinus (Linnaeus 1766)",,,"West Bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-24T00:00:00.000Z","December",
"268609","Arjun Duggal","Darjeeling",,"1","false","11/05/2012","/1406447e-8c51-4d87-a524-1f4d0bc5aa2a/Yak.png","Mammals",,"false","27.036006927490234","88.2626724243164","ACCURATE","30/04/2012","","Species","Bos grunniens Linnaeus 1766","","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Bos","Bos grunniens Linnaeus 1766",,,"Hill Cart Rd, Darjeeling, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,,"April",
"268608","Arjun Duggal","Darjeeling",,"2","false","11/05/2012","/43e72a58-3865-452d-9376-2e955858334e/Blue_Sheep.png","Mammals",,"false","27.036006927490234","88.2626724243164","ACCURATE","30/04/2012","","Species","Pseudois nayaur (Hodgson 1833)","Bharal:Tibetan","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Pseudois","Pseudois nayaur (Hodgson 1833)",,,"Hill Cart Rd, Darjeeling, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,,"April",
"268607","Arjun Duggal","Darjeeling",,"1","true","11/05/2012","/8a81732b-28d9-43cc-8d7a-152a95b319a7/Himalayan_Goral.png","Mammals",,"true","27.036006927490234","88.2626724243164","ACCURATE","30/04/2012","","Species","Naemorhedus goral (Hardwicke 1825)","","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Naemorhedus","Naemorhedus goral (Hardwicke 1825)",,,"Hill Cart Rd, Darjeeling, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,,"April",
"268606","Arjun Duggal","Darjeeling",,"1","true","11/05/2012","/a54da5d1-30a1-4da3-8448-178da1b3b3a1/20120430_150207.jpg","Mammals",,"true","27.036006927490234","88.2626724243164","ACCURATE","30/04/2012","","Species","Ursus thibetanus","","Animalia","Chordata","Mammalia","Carnivora",,"Ursidae","Ursus","Ursus thibetanus",,,"Hill Cart Rd, Darjeeling, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,,"April",
